"Key","Severity","ImpactSeverity","Type","Rule","File","Line","Message","Effort","Tags","Status","CreationDate","UpdateDate","Link"
"AZ7Illqxj7SaPbKU6tC6","CRITICAL","MAINTAINABILITY:HIGH","CODE_SMELL","python:S3776","app.py","2516","Refactor this function to reduce its Cognitive Complexity from 32 to the 15 allowed.","22min","brain-overload","OPEN","2026-06-14T23:48:58+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tC6&open=AZ7Illqxj7SaPbKU6tC6"
"AZ7Illqxj7SaPbKU6tC-","MAJOR","MAINTAINABILITY:HIGH","CODE_SMELL","python:S8415","app.py","2702","Document this HTTPException with status code 400 in the ""responses"" parameter.","5min","documentation, fastapi, openapi","OPEN","2026-06-14T23:48:58+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tC-&open=AZ7Illqxj7SaPbKU6tC-"
"AZ7Illqxj7SaPbKU6tDA","MAJOR","MAINTAINABILITY:HIGH","CODE_SMELL","python:S8415","app.py","2711","Document this HTTPException with status code 400 in the ""responses"" parameter.","5min","documentation, fastapi, openapi","OPEN","2026-06-14T23:48:58+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tDA&open=AZ7Illqxj7SaPbKU6tDA"
"AZ7IllpRj7SaPbKU6tAV","MAJOR","MAINTAINABILITY:MEDIUM","CODE_SMELL","python:S5869","services/key_detect.py","16","Remove duplicates in this character class.","5min","regex","OPEN","2026-06-14T23:48:58+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7IllpRj7SaPbKU6tAV&open=AZ7IllpRj7SaPbKU6tAV"
"AZ7Illp3j7SaPbKU6tAh","MAJOR","MAINTAINABILITY:MEDIUM","CODE_SMELL","python:S3358","services/ops_status.py","68","Extract this nested conditional expression into an independent statement.","5min","confusing","OPEN","2026-06-14T23:48:58+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illp3j7SaPbKU6tAh&open=AZ7Illp3j7SaPbKU6tAh"
"AZ7Illp3j7SaPbKU6tAi","CRITICAL","MAINTAINABILITY:HIGH","CODE_SMELL","python:S3776","services/ops_status.py","80","Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.","8min","brain-overload","OPEN","2026-06-14T23:48:58+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illp3j7SaPbKU6tAi&open=AZ7Illp3j7SaPbKU6tAi"
"AZ7Illp3j7SaPbKU6tAj","CRITICAL","MAINTAINABILITY:HIGH","CODE_SMELL","python:S3776","services/ops_status.py","159","Refactor this function to reduce its Cognitive Complexity from 28 to the 15 allowed.","18min","brain-overload","OPEN","2026-06-14T23:48:58+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illp3j7SaPbKU6tAj&open=AZ7Illp3j7SaPbKU6tAj"
"AZ7Illqxj7SaPbKU6tAv","CRITICAL","MAINTAINABILITY:HIGH","CODE_SMELL","python:S1192","app.py","1169","Define a constant instead of duplicating this literal ""Projeto nao encontrado."" 9 times.","18min","design","OPEN","2026-06-14T17:56:12+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tAv&open=AZ7Illqxj7SaPbKU6tAv"
"AZ7Illqxj7SaPbKU6tBt","MINOR","MAINTAINABILITY:LOW","CODE_SMELL","python:S8410","app.py","1514","Use ""Annotated"" type hints for FastAPI dependency injection","5min","convention, fastapi, type-hint","OPEN","2026-06-14T17:56:12+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tBt&open=AZ7Illqxj7SaPbKU6tBt"
"AZ7Illqxj7SaPbKU6tBu","MAJOR","MAINTAINABILITY:HIGH","CODE_SMELL","python:S8415","app.py","1520","Document this HTTPException with status code 404 in the ""responses"" parameter.","5min","documentation, fastapi, openapi","OPEN","2026-06-14T17:56:12+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tBu&open=AZ7Illqxj7SaPbKU6tBu"
"AZ7Illqxj7SaPbKU6tAx","CRITICAL","MAINTAINABILITY:HIGH","CODE_SMELL","python:S1192","app.py","1523","Define a constant instead of duplicating this literal ""Cadastre ao menos uma chave de API em /settings."" 4 times.","8min","design","OPEN","2026-06-14T17:56:12+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tAx&open=AZ7Illqxj7SaPbKU6tAx"
"AZ7Illqxj7SaPbKU6tBv","MAJOR","MAINTAINABILITY:HIGH","CODE_SMELL","python:S8415","app.py","1523","Document this HTTPException with status code 400 in the ""responses"" parameter.","5min","documentation, fastapi, openapi","OPEN","2026-06-14T17:56:12+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tBv&open=AZ7Illqxj7SaPbKU6tBv"
"AZ7Illqxj7SaPbKU6tBw","MAJOR","MAINTAINABILITY:HIGH","CODE_SMELL","python:S8415","app.py","1526","Document this HTTPException with status code 400 in the ""responses"" parameter.","5min","documentation, fastapi, openapi","OPEN","2026-06-14T17:56:12+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tBw&open=AZ7Illqxj7SaPbKU6tBw"
"AZ7Illqxj7SaPbKU6tBx","MAJOR","MAINTAINABILITY:HIGH","CODE_SMELL","python:S8415","app.py","1529","Document this HTTPException with status code 404 in the ""responses"" parameter.","5min","documentation, fastapi, openapi","OPEN","2026-06-14T17:56:12+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tBx&open=AZ7Illqxj7SaPbKU6tBx"
"AZ7Illqxj7SaPbKU6tBy","MAJOR","MAINTAINABILITY:HIGH","CODE_SMELL","python:S8415","app.py","1534","Document this HTTPException with status code 400 in the ""responses"" parameter.","5min","documentation, fastapi, openapi","OPEN","2026-06-14T17:56:12+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tBy&open=AZ7Illqxj7SaPbKU6tBy"
"AZ7Illqxj7SaPbKU6tBz","CRITICAL","MAINTAINABILITY:HIGH","CODE_SMELL","python:S3776","app.py","1557","Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.","8min","brain-overload","OPEN","2026-06-14T17:56:12+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tBz&open=AZ7Illqxj7SaPbKU6tBz"
"AZ7Illqxj7SaPbKU6tB0","MINOR","MAINTAINABILITY:LOW","CODE_SMELL","python:S8410","app.py","1561","Use ""Annotated"" type hints for FastAPI dependency injection","5min","convention, fastapi, type-hint","OPEN","2026-06-14T17:56:12+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tB0&open=AZ7Illqxj7SaPbKU6tB0"
"AZ7Illqxj7SaPbKU6tB1","MAJOR","MAINTAINABILITY:HIGH","CODE_SMELL","python:S8415","app.py","1567","Document this HTTPException with status code 404 in the ""responses"" parameter.","5min","documentation, fastapi, openapi","OPEN","2026-06-14T17:56:12+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tB1&open=AZ7Illqxj7SaPbKU6tB1"
"AZ7Illqxj7SaPbKU6tB2","MAJOR","MAINTAINABILITY:HIGH","CODE_SMELL","python:S8415","app.py","1571","Document this HTTPException with status code 404 in the ""responses"" parameter.","5min","documentation, fastapi, openapi","OPEN","2026-06-14T17:56:12+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tB2&open=AZ7Illqxj7SaPbKU6tB2"
"AZ7Illqxj7SaPbKU6tB3","MAJOR","MAINTAINABILITY:HIGH","CODE_SMELL","python:S8415","app.py","1575","Document this HTTPException with status code 400 in the ""responses"" parameter.","5min","documentation, fastapi, openapi","OPEN","2026-06-14T17:56:12+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tB3&open=AZ7Illqxj7SaPbKU6tB3"
"AZ7Illqxj7SaPbKU6tB4","MAJOR","MAINTAINABILITY:HIGH","CODE_SMELL","python:S8415","app.py","1588","Document this HTTPException with status code 400 in the ""responses"" parameter.","5min","documentation, fastapi, openapi","OPEN","2026-06-14T17:56:12+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tB4&open=AZ7Illqxj7SaPbKU6tB4"
"AZ7Illqxj7SaPbKU6tCF","CRITICAL","MAINTAINABILITY:HIGH","CODE_SMELL","python:S3776","app.py","1734","Refactor this function to reduce its Cognitive Complexity from 24 to the 15 allowed.","14min","brain-overload","OPEN","2026-06-14T17:56:12+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tCF&open=AZ7Illqxj7SaPbKU6tCF"
"AZ7Illqxj7SaPbKU6tCX","CRITICAL","MAINTAINABILITY:HIGH","CODE_SMELL","python:S3776","app.py","2056","Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.","7min","brain-overload","OPEN","2026-06-14T17:56:12+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tCX&open=AZ7Illqxj7SaPbKU6tCX"
"AZ7Illqxj7SaPbKU6tCZ","MINOR","MAINTAINABILITY:LOW","CODE_SMELL","python:S8410","app.py","2170","Use ""Annotated"" type hints for FastAPI dependency injection","5min","convention, fastapi, type-hint","OPEN","2026-06-14T17:56:12+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tCZ&open=AZ7Illqxj7SaPbKU6tCZ"
"AZ7Illqxj7SaPbKU6tC9","MAJOR","MAINTAINABILITY:HIGH","CODE_SMELL","python:S8415","app.py","2690","Document this HTTPException with status code 400 in the ""responses"" parameter.","5min","documentation, fastapi, openapi","OPEN","2026-06-14T17:56:12+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tC9&open=AZ7Illqxj7SaPbKU6tC9"
"AZ7Illqxj7SaPbKU6tAy","CRITICAL","MAINTAINABILITY:HIGH","CODE_SMELL","python:S3776","app.py","522","Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.","6min","brain-overload","OPEN","2026-06-14T16:02:31+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tAy&open=AZ7Illqxj7SaPbKU6tAy"
"AZ7Illqxj7SaPbKU6tAz","MAJOR","MAINTAINABILITY:MEDIUM","CODE_SMELL","python:S3358","app.py","527","Extract this nested conditional expression into an independent statement.","5min","confusing","OPEN","2026-06-14T16:02:31+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tAz&open=AZ7Illqxj7SaPbKU6tAz"
"AZ7Illqxj7SaPbKU6tDG","CRITICAL","MAINTAINABILITY:HIGH","CODE_SMELL","python:S3776","app.py","2806","Refactor this function to reduce its Cognitive Complexity from 35 to the 15 allowed.","25min","brain-overload","OPEN","2026-06-14T16:02:31+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tDG&open=AZ7Illqxj7SaPbKU6tDG"
"AZ7Illqxj7SaPbKU6tDN","CRITICAL","MAINTAINABILITY:HIGH","CODE_SMELL","python:S3776","app.py","2931","Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.","10min","brain-overload","OPEN","2026-06-14T16:02:31+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tDN&open=AZ7Illqxj7SaPbKU6tDN"
"AZ7Illqxj7SaPbKU6tDU","MINOR","MAINTAINABILITY:LOW","CODE_SMELL","python:S8410","app.py","3065","Use ""Annotated"" type hints for FastAPI dependency injection","5min","convention, fastapi, type-hint","OPEN","2026-06-14T16:02:31+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tDU&open=AZ7Illqxj7SaPbKU6tDU"
"AZ7Illqxj7SaPbKU6tDV","MAJOR","MAINTAINABILITY:HIGH","CODE_SMELL","python:S8415","app.py","3070","Document this HTTPException with status code 404 in the ""responses"" parameter.","5min","documentation, fastapi, openapi","OPEN","2026-06-14T16:02:31+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tDV&open=AZ7Illqxj7SaPbKU6tDV"
"AZ7Illqxj7SaPbKU6tDW","MAJOR","MAINTAINABILITY:HIGH","CODE_SMELL","python:S8415","app.py","3072","Document this HTTPException with status code 409 in the ""responses"" parameter.","5min","documentation, fastapi, openapi","OPEN","2026-06-14T16:02:31+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tDW&open=AZ7Illqxj7SaPbKU6tDW"
"AZ7Illrqj7SaPbKU6tEL","MINOR","MAINTAINABILITY:MEDIUM","CODE_SMELL","javascript:S7776","static/gallery.js","361","`ACTIVE_JOB_STATUSES` should be a `Set`, and use `ACTIVE_JOB_STATUSES.has()` to check existence or non-existence.","5min","es2015, optimization, performance","OPEN","2026-06-14T16:02:31+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illrqj7SaPbKU6tEL&open=AZ7Illrqj7SaPbKU6tEL"
"AZ7Illrqj7SaPbKU6tEM","MINOR","MAINTAINABILITY:LOW","CODE_SMELL","javascript:S7764","static/gallery.js","426","Prefer `globalThis` over `window`.","2min","es2020, portability","OPEN","2026-06-14T16:02:31+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illrqj7SaPbKU6tEM&open=AZ7Illrqj7SaPbKU6tEM"
"AZ7Illqxj7SaPbKU6tCf","MAJOR","MAINTAINABILITY:HIGH","CODE_SMELL","python:S8415","app.py","2234","Document this HTTPException with status code 400 in the ""responses"" parameter.","5min","documentation, fastapi, openapi","OPEN","2026-06-13T15:32:28+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tCf&open=AZ7Illqxj7SaPbKU6tCf"
"AZ7IllqDj7SaPbKU6tAn","CRITICAL","MAINTAINABILITY:HIGH","CODE_SMELL","python:S3776","services/edit_plan.py","293","Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.","9min","brain-overload","OPEN","2026-06-13T14:50:32+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7IllqDj7SaPbKU6tAn&open=AZ7IllqDj7SaPbKU6tAn"
"AZ7Illm0j7SaPbKU6tAJ","CRITICAL","MAINTAINABILITY:HIGH","CODE_SMELL","python:S3776","services/packager.py","283","Refactor this function to reduce its Cognitive Complexity from 32 to the 15 allowed.","22min","brain-overload","OPEN","2026-06-13T14:50:32+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illm0j7SaPbKU6tAJ&open=AZ7Illm0j7SaPbKU6tAJ"
"AZ7IllqDj7SaPbKU6tAl","CRITICAL","MAINTAINABILITY:HIGH","CODE_SMELL","python:S3776","services/edit_plan.py","213","Refactor this function to reduce its Cognitive Complexity from 22 to the 15 allowed.","12min","brain-overload","OPEN","2026-06-13T14:11:24+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7IllqDj7SaPbKU6tAl&open=AZ7IllqDj7SaPbKU6tAl"
"AZ7Illo9j7SaPbKU6tAP","MAJOR","MAINTAINABILITY:MEDIUM","CODE_SMELL","python:S1172","services/asset_search.py","306","Remove the unused function parameter ""max_w"".","5min","unused","OPEN","2026-06-13T03:02:46+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illo9j7SaPbKU6tAP&open=AZ7Illo9j7SaPbKU6tAP"
"AZ7Illo9j7SaPbKU6tAQ","CRITICAL","MAINTAINABILITY:HIGH","CODE_SMELL","python:S3776","services/asset_search.py","349","Refactor this function to reduce its Cognitive Complexity from 23 to the 15 allowed.","13min","brain-overload","OPEN","2026-06-13T03:02:46+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illo9j7SaPbKU6tAQ&open=AZ7Illo9j7SaPbKU6tAQ"
"AZ7Illo9j7SaPbKU6tAR","CRITICAL","MAINTAINABILITY:HIGH","CODE_SMELL","python:S3776","services/asset_search.py","404","Refactor this function to reduce its Cognitive Complexity from 30 to the 15 allowed.","20min","brain-overload","OPEN","2026-06-13T03:02:46+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illo9j7SaPbKU6tAR&open=AZ7Illo9j7SaPbKU6tAR"
"AZ7Illqxj7SaPbKU6tCR","CRITICAL","MAINTAINABILITY:HIGH","CODE_SMELL","python:S3776","app.py","1863","Refactor this function to reduce its Cognitive Complexity from 23 to the 15 allowed.","13min","brain-overload","OPEN","2026-06-13T02:56:03+0000","2026-06-15T00:01:53+0000","https://sonarcloud.io/project/issues?id=joaovitorgalvao80-rgb_teste&issues=AZ7Illqxj7SaPbKU6tCR&open=AZ7Illqxj7SaPbKU6tCR"
